participantId,win,item0,item1,item2,item3,item4,item5,item6,kills,deaths,assists,largestKillingSpree,largestMultiKill,killingSprees,longestTimeSpentLiving,doubleKills,tripleKills,quadraKills,pentaKills,unrealKills,totalDamageDealt,magicDamageDealt,physicalDamageDealt,trueDamageDealt,largestCriticalStrike,totalDamageDealtToChampions,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,totalHeal,totalUnitsHealed,damageSelfMitigated,damageDealtToObjectives,damageDealtToTurrets,visionScore,timeCCingOthers,totalDamageTaken,magicalDamageTaken,physicalDamageTaken,trueDamageTaken,goldEarned,goldSpent,turretKills,inhibitorKills,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,champLevel,visionWardsBoughtInGame,sightWardsBoughtInGame,wardsPlaced,wardsKilled,firstBloodKill,firstBloodAssist,firstTowerKill,firstTowerAssist,firstInhibitorKill,firstInhibitorAssist,combatPlayerScore,objectivePlayerScore,totalPlayerScore,totalScoreRank,playerScore0,playerScore1,playerScore2,playerScore3,playerScore4,playerScore5,playerScore6,playerScore7,playerScore8,playerScore9,perk0,perk0Var1,perk0Var2,perk0Var3,perk1,perk1Var1,perk1Var2,perk1Var3,perk2,perk2Var1,perk2Var2,perk2Var3,perk3,perk3Var1,perk3Var2,perk3Var3,perk4,perk4Var1,perk4Var2,perk4Var3,perk5,perk5Var1,perk5Var2,perk5Var3,perkPrimaryStyle,perkSubStyle,statPerk0,statPerk1,statPerk2,gameId,gameDuration,lane,teamId,championId,spell1Id,spell2Id
8GkQvtfT2rBbNvSZk7pMzmGu_DjtwE_2fNxGsSyv_hM4A4A,False,6676,6691,3142,6609,3814,6694,3340,36,16,12,6,3,11,541,8,2,0,0,0,260224,13617,232082,14524,802,78748,2043,74694,2010,7486,1,34969,22900,6044,36,24,53339,10074,39449,3815,25853,20450,3,0,184,29,12,8,364,18,0,0,16,4,True,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8005,894,601,293,8009,1999,0,0,9104,12,40,0,8014,1892,0,0,8345,3,0,0,8313,0,0,0,8000,8300,5005,5008,5003,2265668336,3189,MIDDLE,100,238,4,14
8GkQvtfT2rBbNvSZk7pMzmGu_DjtwE_2fNxGsSyv_hM4A4A,True,6676,6671,2424,3006,1018,1037,3340,6,7,4,3,2,2,444,1,0,0,0,0,119007,5101,104530,9375,451,11385,1888,9401,95,3629,4,6202,5868,5048,18,0,16151,2489,12926,735,11145,9525,3,0,142,24,17,0,1,14,0,0,9,3,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8005,401,265,135,8009,1562,0,0,9104,21,40,0,8014,212,0,0,8345,3,0,0,8313,0,0,0,8000,8300,5005,5008,5003,2265674574,1779,BOTTOM,100,236,4,7
8GkQvtfT2rBbNvSZk7pMzmGu_DjtwE_2fNxGsSyv_hM4A4A,False,3006,6671,6676,2424,3031,1038,3340,15,11,5,3,3,5,360,2,1,0,0,0,118693,5029,103147,10516,682,24293,2873,21313,106,1341,1,6463,3258,3258,15,0,20080,14010,5341,728,14719,12760,2,0,142,4,4,0,10,15,0,0,9,3,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8005,909,582,326,8009,2399,0,0,9104,14,30,0,8014,649,0,0,8345,3,0,0,8313,0,0,0,8000,8300,5005,5008,5003,2263934500,1857,BOTTOM,100,236,4,1
8GkQvtfT2rBbNvSZk7pMzmGu_DjtwE_2fNxGsSyv_hM4A4A,False,3031,6673,3046,3123,1031,3006,3340,8,10,4,3,1,2,496,0,0,0,0,0,195527,26344,162828,6354,658,24648,4712,15220,4716,9116,1,27864,4630,2265,34,34,32910,8092,23248,1569,14187,13030,1,0,204,20,12,4,197,17,2,0,14,4,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8021,3462,0,0,9111,1025,240,0,9104,23,10,0,8014,323,0,0,8139,1276,0,0,8135,2702,5,0,8000,8100,5005,5008,5002,2263970498,2346,MIDDLE,200,777,4,14
8GkQvtfT2rBbNvSZk7pMzmGu_DjtwE_2fNxGsSyv_hM4A4A,False,1082,6656,2031,3020,3070,0,3340,0,6,1,0,0,0,383,0,0,0,0,0,57208,34536,11562,11110,0,8061,6472,689,900,2552,1,8408,1411,1411,15,15,16370,6500,9753,116,5627,5475,0,0,104,0,0,0,78,11,1,0,9,0,False,False,False,False,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8021,1300,0,0,8009,691,0,0,9105,0,0,0,8014,79,0,0,8139,564,0,0,8135,22,1,0,8000,8100,5008,5008,5003,2263126212,1437,MIDDLE,200,38,4,14
8GkQvtfT2rBbNvSZk7pMzmGu_DjtwE_2fNxGsSyv_hM4A4A,True,3006,6671,3140,6676,1038,0,3340,7,4,5,3,2,2,632,1,0,0,0,0,107925,3615,102660,1649,1425,10925,1310,9390,224,1346,1,5655,18412,7321,16,0,13335,7599,4772,963,11205,10525,2,0,153,8,4,4,1,15,1,0,9,0,False,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8005,622,504,118,8009,1371,0,0,9103,22,20,0,8014,347,0,0,8304,9,0,0,8345,3,0,0,8000,8300,5005,5008,5003,2263104232,1562,MIDDLE,100,236,4,14
8GkQvtfT2rBbNvSZk7pMzmGu_DjtwE_2fNxGsSyv_hM4A4A,True,3072,6673,3006,3031,3123,0,3340,5,9,14,2,1,1,496,0,0,0,0,0,202325,28228,169671,4425,710,24894,4828,17020,3045,8546,1,34725,16578,6579,18,26,29463,3021,24487,1954,14820,12775,3,1,199,12,0,9,179,17,1,0,11,1,True,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8021,3209,0,0,9111,691,380,0,9104,17,10,0,8014,270,0,0,8139,1409,0,0,8135,3048,5,0,8000,8100,5005,5008,5002,2262949891,1958,MIDDLE,200,777,4,14
8GkQvtfT2rBbNvSZk7pMzmGu_DjtwE_2fNxGsSyv_hM4A4A,False,6676,6672,3047,3133,1037,3123,3340,4,9,15,2,1,1,521,0,0,0,0,0,127203,4442,122178,582,498,17020,1322,15697,0,4681,5,9698,5203,1845,29,0,26474,8714,16568,1191,12559,14830,1,0,169,25,17,0,4,15,4,0,14,2,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8005,430,254,176,8009,1928,0,0,9105,18,50,0,8299,908,0,0,8139,1090,0,0,8135,0,5,0,8000,8100,5005,5008,5002,2259877880,2259,BOTTOM,200,236,4,7
8GkQvtfT2rBbNvSZk7pMzmGu_DjtwE_2fNxGsSyv_hM4A4A,True,3006,6671,1037,6676,3156,1038,3340,13,9,7,4,2,3,818,1,0,0,0,0,163921,6145,150950,6825,605,33690,3168,30046,475,4379,3,15674,8223,4020,29,1,27770,10176,16593,1000,15421,13225,2,0,159,12,8,0,15,16,2,0,15,2,False,False,True,False,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8005,1858,1179,679,8009,2642,0,0,9104,13,40,0,8014,695,0,0,8139,1583,0,0,8135,0,5,0,8000,8100,5005,5008,5002,2254718085,2311,BOTTOM,200,236,4,7
8GkQvtfT2rBbNvSZk7pMzmGu_DjtwE_2fNxGsSyv_hM4A4A,True,1055,0,6671,3006,1036,1036,3340,4,1,2,3,1,1,420,0,0,0,0,0,54416,2474,47452,4490,310,5825,899,4926,0,809,1,2478,6378,3244,9,0,6908,4099,2368,440,7083,5900,1,0,116,4,0,4,4,11,2,0,7,0,False,False,False,False,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8005,314,238,75,8009,800,0,0,9104,13,30,0,8014,118,0,0,8139,406,0,0,8135,0,2,0,8000,8100,5005,5008,5002,2254734841,914,NONE,200,236,4,12
8GkQvtfT2rBbNvSZk7pMzmGu_DjtwE_2fNxGsSyv_hM4A4A,True,1035,2031,0,0,0,0,3340,0,0,0,0,0,0,0,0,0,0,0,0,8817,3106,4871,840,0,41,0,41,0,1105,1,976,0,0,1,0,1922,421,1501,0,1027,500,0,0,0,16,16,0,41,3,0,0,1,0,False,False,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8010,0,0,0,9111,0,0,0,9104,0,0,0,8014,0,0,0,8304,0,0,0,8347,0,0,0,8000,8300,5005,5008,5002,2254753053,199,NONE,200,64,4,11
8GkQvtfT2rBbNvSZk7pMzmGu_DjtwE_2fNxGsSyv_hM4A4A,False,1055,6691,3158,1033,0,0,3340,0,14,4,0,0,0,188,0,0,0,0,0,53086,3231,49163,692,0,11318,472,10154,692,1667,1,11352,0,0,15,6,22081,10057,11551,472,6075,5150,0,0,99,1,1,0,73,11,1,0,8,1,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8112,908,0,0,8139,1113,0,0,8138,4,0,0,8106,3,0,0,8210,0,0,0,8237,447,0,0,8100,8200,5008,5008,5003,2254625689,1560,MIDDLE,200,238,4,14
8GkQvtfT2rBbNvSZk7pMzmGu_DjtwE_2fNxGsSyv_hM4A4A,False,1055,6671,3006,6676,1038,0,3340,6,11,9,2,2,3,455,1,0,0,0,0,118888,4405,98207,16275,455,16477,1659,14740,77,3375,5,9584,4198,2473,16,0,24841,13062,10811,968,10183,9525,0,0,139,8,8,0,35,14,1,0,9,0,False,False,False,False,False,False,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8005,1075,659,416,8009,1699,0,0,9104,18,50,0,8014,401,0,0,8139,975,0,0,8135,0,5,0,8000,8100,5005,5008,5002,2253507499,1858,BOTTOM,200,236,4,7
8GkQvtfT2rBbNvSZk7pMzmGu_DjtwE_2fNxGsSyv_hM4A4A,True,1055,1036,1042,0,0,0,3340,1,1,0,0,1,0,169,0,0,0,0,0,4430,0,2045,2385,0,602,0,602,0,131,2,311,0,0,1,0,962,605,247,110,1259,1150,0,0,9,0,0,0,0,2,0,0,1,0,True,False,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8005,59,37,21,8009,71,0,0,9104,0,0,0,8014,18,0,0,8139,21,0,0,8135,0,1,0,8000,8100,5005,5008,5003,2253525977,203,NONE,200,236,4,7
8GkQvtfT2rBbNvSZk7pMzmGu_DjtwE_2fNxGsSyv_hM4A4A,True,6333,6673,3031,3006,1018,1053,3340,14,4,10,5,2,4,513,2,0,0,0,0,189649,23751,152535,13361,1567,37076,7704,25330,4041,9521,1,30092,23822,3561,23,39,29576,11992,13322,4261,16826,13200,1,1,183,20,5,8,181,18,2,0,13,1,False,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8021,4171,0,0,9111,1228,480,0,9104,16,50,0,8014,802,0,0,8139,1528,0,0,8135,0,5,0,8000,8100,5005,5008,5003,2253512124,2043,MIDDLE,200,777,4,14
8GkQvtfT2rBbNvSZk7pMzmGu_DjtwE_2fNxGsSyv_hM4A4A,True,6676,6671,2421,3006,3031,3033,3340,14,6,12,5,2,5,954,2,0,0,0,0,173871,6754,163251,3865,770,28180,3576,23927,675,2890,3,14651,14751,3033,22,3,23042,3910,17846,1285,16696,14550,1,0,164,40,20,16,54,17,0,0,12,3,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8005,837,526,310,8009,2606,0,0,9104,13,30,0,8014,799,0,0,8139,1223,0,0,8135,0,5,0,8000,8100,5005,5008,5002,2253330692,2202,BOTTOM,200,236,4,7
8GkQvtfT2rBbNvSZk7pMzmGu_DjtwE_2fNxGsSyv_hM4A4A,False,6676,6671,3006,1055,3031,3123,3340,14,13,2,4,2,3,365,2,0,0,0,0,103307,4409,96859,2038,635,24701,2137,20894,1670,2978,3,11614,3637,3637,12,2,26501,3880,18598,4022,13742,12660,1,0,141,4,0,0,20,14,1,0,8,1,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8005,2613,1231,1382,8009,1983,0,0,9104,19,40,0,8014,667,0,0,8139,1366,0,0,8135,0,5,0,8000,8100,5005,5008,5002,2253175552,1808,BOTTOM,100,236,4,7
8GkQvtfT2rBbNvSZk7pMzmGu_DjtwE_2fNxGsSyv_hM4A4A,False,3006,6671,1055,3134,1018,0,3340,4,6,0,3,2,1,707,1,0,0,0,0,75850,1628,63903,10318,324,10949,742,10206,0,808,2,5024,6303,3214,12,0,14491,5503,8054,933,7323,6905,1,0,133,0,0,0,0,10,1,0,8,1,False,False,False,False,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8005,710,570,140,8009,600,0,0,9104,14,40,0,8014,246,0,0,8139,525,0,0,8135,0,3,0,8000,8100,5005,5008,5002,2253101017,1329,BOTTOM,100,236,4,7
8GkQvtfT2rBbNvSZk7pMzmGu_DjtwE_2fNxGsSyv_hM4A4A,True,1055,0,0,0,0,0,3340,0,1,0,0,0,0,188,0,0,0,0,0,2918,0,2918,0,0,667,0,667,0,63,2,315,0,0,0,0,923,157,765,0,747,500,0,0,4,0,0,0,0,2,0,0,1,0,False,False,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8005,37,26,10,8009,30,0,0,9104,0,0,0,8014,8,0,0,8139,42,0,0,8135,0,0,0,8000,8100,5005,5008,5002,2253019953,200,NONE,200,236,4,7
8GkQvtfT2rBbNvSZk7pMzmGu_DjtwE_2fNxGsSyv_hM4A4A,False,3057,4633,3157,3047,3113,0,3340,7,12,5,2,1,2,364,0,0,0,0,0,77109,30990,20076,26042,0,12837,5432,2590,4815,3160,1,21155,1915,530,20,3,29656,6764,20514,2377,9506,9075,0,0,119,1,0,1,47,13,1,0,9,0,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8010,163,0,0,9111,743,240,0,9104,20,40,0,8014,329,0,0,8139,992,0,0,8135,0,5,0,8000,8100,5005,5008,5002,2252863610,1653,MIDDLE,100,887,4,14
